source_id,target_id,freq,avg_conf,npmi,lr_log,slope_log1p,weight_final,final_score,status,first_year,last_year,is_emerging,action_match,type
1254,2080,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2017,2017,False,1,TECH_FUNC
1265,5471,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2015,2015,False,1,TECH_FUNC
2434,10059,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2025,2025,False,1,TECH_FUNC
1871,56,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2020,2020,False,1,TECH_FUNC
3044,8858,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2022,2022,False,1,TECH_FUNC
2980,12445,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2021,2021,False,1,TECH_FUNC
2964,12504,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2021,2021,False,1,TECH_FUNC
3202,12549,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2017,2017,False,1,TECH_FUNC
3233,1970,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2017,2017,False,1,TECH_FUNC
3181,13214,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2022,2022,False,1,TECH_FUNC
2717,12332,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2020,2020,False,1,TECH_FUNC
2802,12218,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2022,2022,False,1,TECH_FUNC
846,3159,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2023,2023,False,1,TECH_FUNC
862,3359,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2010,2010,False,1,TECH_FUNC
1055,4040,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2014,2014,False,1,TECH_FUNC
1541,2503,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2020,2020,False,1,TECH_FUNC
1616,6595,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2025,2025,False,1,TECH_FUNC
1508,6382,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2025,2025,False,1,TECH_FUNC
1100,5312,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2020,2020,False,1,TECH_FUNC
1143,4657,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2017,2017,False,1,TECH_FUNC
1419,2043,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2022,2022,False,1,TECH_FUNC
1418,6182,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5171344771167715,suppressed,2013,2013,False,1,TECH_FUNC
2328,9903,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5163236663059607,suppressed,2016,2016,False,1,TECH_FUNC
2522,10732,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5163236663059607,suppressed,2023,2023,False,1,TECH_FUNC
2985,12948,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5163236663059607,suppressed,2018,2018,False,1,TECH_FUNC
3228,2366,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5163236663059607,suppressed,2018,2018,False,1,TECH_FUNC
981,4244,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5163236663059607,suppressed,2019,2019,False,1,TECH_FUNC
1635,7089,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5163236663059607,suppressed,2016,2016,False,1,TECH_FUNC
1637,7057,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5163236663059607,suppressed,2016,2016,False,1,TECH_FUNC
1439,7327,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5163236663059607,suppressed,2011,2011,False,1,TECH_FUNC
2169,9059,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2023,2023,False,1,TECH_FUNC
2086,8522,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2018,2018,False,1,TECH_FUNC
3060,12813,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2023,2023,False,1,TECH_FUNC
2918,475,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2018,2018,False,1,TECH_FUNC
3263,12614,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2021,2021,False,1,TECH_FUNC
2715,13357,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2020,2020,False,1,TECH_FUNC
2849,966,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2024,2024,False,1,TECH_FUNC
660,831,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2016,2016,False,1,TECH_FUNC
964,4143,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2024,2024,False,1,TECH_FUNC
1669,2093,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2019,2019,False,1,TECH_FUNC
1689,360,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5156479906302851,suppressed,2021,2021,False,1,TECH_FUNC
